Time,Ar_press,Ar_mass_flow,He_mass_flow,He_press,He_vol_flow,Ar_vol_flow,Ar_STP_press,He_STP_press
2021-08-26T13:02:45.369,1.201,0.5,0.5,1.202,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-26T13:03:15.571,1.201,0.5,0.5,1.202,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-26T13:03:45.817,1.201,0.5,0.5,1.202,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-26T13:04:16.062,1.202,0.5,0.5,1.203,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-26T13:04:46.282,1.201,0.5,0.5,1.201,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-26T13:05:16.482,1.201,0.5,0.5,1.202,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-26T13:05:46.682,1.201,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:06:16.921,1.201,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:06:47.138,1.202,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:07:17.359,1.202,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:07:47.562,1.202,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:08:17.762,1.202,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:08:47.965,1.202,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:09:18.197,1.202,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:09:48.426,1.202,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:10:18.669,1.202,0.5,0.5,1.202,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:10:48.886,1.202,0.5,0.5,1.202,0.425,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:11:19.095,1.202,0.5,0.5,1.202,0.425,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:11:49.345,1.202,0.5,0.5,1.202,0.425,0.424,1.01325008393781,1.01325008393781
2021-08-26T13:12:19.565,1.065,0.25,0.25,1.065,0.239,0.239,1.01325008393781,1.01325008393781
2021-08-26T13:12:49.792,1.021,0.25,0.25,1.021,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:13:20.031,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:13:50.218,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:14:20.432,1.02,0.25,0.25,1.021,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:14:50.635,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:15:20.846,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:15:51.060,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:16:21.245,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:16:51.445,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:17:21.667,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:17:51.903,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
2021-08-26T13:18:22.103,1.019,0.25,0.25,1.02,0.25,0.25,1.01325008393781,1.01325008393781
